source_file,source_url,raw_href,resolved_url,anchor_text,target_initial_status,target_final_status,target_final_url,redirect_count,local_target_exists
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service1-article2.html,https://www.ezhalhe-sa.com/articles/service1-article2.html,أفضل ألوان واجهة متجر لزيادة المبيعات,404,404,https://www.ezhalhe-sa.com/articles/service1-article2.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service1-article3.html,https://www.ezhalhe-sa.com/articles/service1-article3.html,أهمية الصور الاحترافية في المتجر,404,404,https://www.ezhalhe-sa.com/articles/service1-article3.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service1-article5.html,https://www.ezhalhe-sa.com/articles/service1-article5.html,كيفية اختيار الباقات المناسبة لتطوير المتجر,404,404,https://www.ezhalhe-sa.com/articles/service1-article5.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service1-article6.html,https://www.ezhalhe-sa.com/articles/service1-article6.html,أدوات تصميم سهلة وسريعة,404,404,https://www.ezhalhe-sa.com/articles/service1-article6.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service1-article7.html,https://www.ezhalhe-sa.com/articles/service1-article7.html,تحسين سرعة المتجر على جميع الأجهزة,404,404,https://www.ezhalhe-sa.com/articles/service1-article7.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service1-article8.html,https://www.ezhalhe-sa.com/articles/service1-article8.html,تجربة المستخدم UX للمتاجر الإلكترونية,404,404,https://www.ezhalhe-sa.com/articles/service1-article8.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service1-article9.html,https://www.ezhalhe-sa.com/articles/service1-article9.html,تصميم المتاجر للهواتف المحمولة,404,404,https://www.ezhalhe-sa.com/articles/service1-article9.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service1-article10.html,https://www.ezhalhe-sa.com/articles/service1-article10.html,أخطاء شائعة في تصميم المتاجر وتجنبها,404,404,https://www.ezhalhe-sa.com/articles/service1-article10.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service2-article1.html,https://www.ezhalhe-sa.com/articles/service2-article1.html,إدارة المتاجر: نصائح عملية,404,404,https://www.ezhalhe-sa.com/articles/service2-article1.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service2-article2.html,https://www.ezhalhe-sa.com/articles/service2-article2.html,توثيق المتاجر: دليل شامل,404,404,https://www.ezhalhe-sa.com/articles/service2-article2.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service2-article3.html,https://www.ezhalhe-sa.com/articles/service2-article3.html,مدفوعات آمنة: كيفية التفعيل,404,404,https://www.ezhalhe-sa.com/articles/service2-article3.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service2-article4.html,https://www.ezhalhe-sa.com/articles/service2-article4.html,تحليل البيانات: تحسين الأداء,404,404,https://www.ezhalhe-sa.com/articles/service2-article4.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service2-article6.html,https://www.ezhalhe-sa.com/articles/service2-article6.html,تحسين محركات البحث: خطوات متقدمة,404,404,https://www.ezhalhe-sa.com/articles/service2-article6.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service2-article7.html,https://www.ezhalhe-sa.com/articles/service2-article7.html,خدمة العملاء: أفضل الممارسات,404,404,https://www.ezhalhe-sa.com/articles/service2-article7.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service2-article8.html,https://www.ezhalhe-sa.com/articles/service2-article8.html,تحليل المنافسين: كيف تتفوق,404,404,https://www.ezhalhe-sa.com/articles/service2-article8.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service2-article9.html,https://www.ezhalhe-sa.com/articles/service2-article9.html,الإعلانات الرقمية: تحقيق النتائج,404,404,https://www.ezhalhe-sa.com/articles/service2-article9.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service2-article10.html,https://www.ezhalhe-sa.com/articles/service2-article10.html,بناء العلامة التجارية: استراتيجيات مبتكرة,404,404,https://www.ezhalhe-sa.com/articles/service2-article10.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service3-article1.html,https://www.ezhalhe-sa.com/articles/service3-article1.html,التصميم البسيط: نصائح لتحقيق التناسق,404,404,https://www.ezhalhe-sa.com/articles/service3-article1.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service3-article2.html,https://www.ezhalhe-sa.com/articles/service3-article2.html,استخدام الخطوط بشكل صحيح: أهم النصائح,404,404,https://www.ezhalhe-sa.com/articles/service3-article2.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service3-article3.html,https://www.ezhalhe-sa.com/articles/service3-article3.html,الألوان النفسية: كيف تؤتر على الزوار؟,404,404,https://www.ezhalhe-sa.com/articles/service3-article3.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service3-article5.html,https://www.ezhalhe-sa.com/articles/service3-article5.html,الرسوم البيانية: كيف استخدامها بفعالية,404,404,https://www.ezhalhe-sa.com/articles/service3-article5.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service3-article7.html,https://www.ezhalhe-sa.com/articles/service3-article7.html,التفاعل مع المستخدمين: كيف تعزيز التجربة,404,404,https://www.ezhalhe-sa.com/articles/service3-article7.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service3-article8.html,https://www.ezhalhe-sa.com/articles/service3-article8.html,تحسين صفحات الهبوط: نصائح وأسرار,404,404,https://www.ezhalhe-sa.com/articles/service3-article8.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service3-article9.html,https://www.ezhalhe-sa.com/articles/service3-article9.html,تحليل التصميم: أدوات مفيدة,404,404,https://www.ezhalhe-sa.com/articles/service3-article9.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service3-article10.html,https://www.ezhalhe-sa.com/articles/service3-article10.html,التصميم المتجاوب: كيف التنفيذ,404,404,https://www.ezhalhe-sa.com/articles/service3-article10.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service4-article1.html,https://www.ezhalhe-sa.com/articles/service4-article1.html,التصميم البسيط: نصائح لتحقيق التناسق,404,404,https://www.ezhalhe-sa.com/articles/service4-article1.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service4-article2.html,https://www.ezhalhe-sa.com/articles/service4-article2.html,استخدام الخطوط بشكل صحيح: أهم النصائح,404,404,https://www.ezhalhe-sa.com/articles/service4-article2.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service4-article3.html,https://www.ezhalhe-sa.com/articles/service4-article3.html,الألوان النفسية: كيف تؤتر على الزوار؟,404,404,https://www.ezhalhe-sa.com/articles/service4-article3.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service4-article5.html,https://www.ezhalhe-sa.com/articles/service4-article5.html,الرسوم البيانية: كيف استخدامها بفعالية,404,404,https://www.ezhalhe-sa.com/articles/service4-article5.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service4-article6.html,https://www.ezhalhe-sa.com/articles/service4-article6.html,تصميم الهوية البصرية: أساسيات مهمة,404,404,https://www.ezhalhe-sa.com/articles/service4-article6.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service4-article8.html,https://www.ezhalhe-sa.com/articles/service4-article8.html,تحسين صفحات الهبوط: نصائح وأسرار,404,404,https://www.ezhalhe-sa.com/articles/service4-article8.html,0,False
blog.html,https://www.ezhalhe-sa.com/blog.html,articles/service4-article9.html,https://www.ezhalhe-sa.com/articles/service4-article9.html,تحليل التصميم: أدوات مفيدة,404,404,https://www.ezhalhe-sa.com/articles/service4-article9.html,0,False
