file,inbound_pages,crawl_reachable
articles.html,112,True
articles/أخطاء-شائعة-في-تصميم-المتاجر-الإلكترونية-وكيفية-تجنبها.html,4,True
articles/أدوات-وتقنيات-تسهل-عليك-إدارة-متجرك-الإلكتروني-اليومية.html,2,True
articles/أسرار-تصميم-صفحات-المنتجات-الجذابة-على-منصة-سلة.html,4,True
articles/أهمية-التخطيط-للمحتوى-في-إدارة-المتجر-وحسابات-السوشيال-ميديا.html,4,True
articles/أهمية-التصميم-الاحترافي-لمتجرك-على-سلة-زيادة-المبيعات-والثقة.html,4,True
articles/أهمية-تتبع-التحويلات-في-الحملات-الإعلانية-قياس-العائد-على-الاستثمار-roi.html,4,True
articles/أهمية-تفعيل-بوابات-دفع-متعددة-لمتجرك-الإلكتروني.html,2,True
articles/أهمية-تفعيل-خدمات-الدفع-الآجل-تابي-وتمارا-لزيادة-مبيعات-متجرك.html,1,True
articles/أهمية-توثيق-متجرك-عبر-منصة-الأعمال-لضمان-الامتثال-القانوني.html,2,True
articles/أهمية-توثيق-متجرك-في-سلة-بناء-الثقة-والمصداقية.html,5,True
articles/أهمية-ربط-google-analytics-4-بمتجرك-الإلكتروني-لتحليل-الأداء.html,1,True
articles/أهمية-فتح-حساب-بنكي-تجاري-لمتجرك-الإلكتروني.html,5,True
articles/إدارة-التدفقات-النقدية-لمتجرك-عبر-الحساب-البنكي-التجاري.html,3,True
articles/إدارة-المخزون-والطلبات-في-متجرك-الإلكتروني-دليل-المبتدئين.html,3,True
articles/إدارة-خدمة-العملاء-عبر-التواصل-الاجتماعي-نصائح-لرضا-العميل.html,4,True
articles/إعداد-حملات-إعادة-الاستهداف-retargeting-باستخدام-البكسلات.html,4,True
articles/اختيار-الدومين-المناسب-لمتجرك-الإلكتروني-نصائح-واستراتيجيات.html,1,True
articles/استخدام-linktree-أو-بدائله-لتحسين-الروابط-في-حسابات-التواصل-الاجتماعي.html,2,True
articles/استخدام-واتساب-للأعمال-في-خدمة-العملاء-والتسويق-لمتجرك.html,3,True
