source,expected_destination,status,location,permanent
/articles/guide-design-store,https://www.ezhalhe-sa.com/salla-store-design.html,308,https://www.ezhalhe-sa.com/salla-store-design.html,True
/articles/guide-design-store.html,https://www.ezhalhe-sa.com/salla-store-design.html,308,https://www.ezhalhe-sa.com/salla-store-design.html,True
/articles/service1-article4.html,https://www.ezhalhe-sa.com/articles/تحسين-seo-للمتاجر-الإلكترونية-على-سلة-دليل-شامل-للبداية.html,308,https://www.ezhalhe-sa.com/articles/تحسين-seo-للمتاجر-الإلكترونية-على-سلة-دليل-شامل-للبداية.html,True
/articles/service10-article10,https://www.ezhalhe-sa.com/brand-building.html,308,https://www.ezhalhe-sa.com/brand-building.html,True
/articles/service2-article1,https://www.ezhalhe-sa.com/articles/كيف-تضمن-إدارة-متجرك-الإلكتروني-بكفاءة-عالية-لمدة-شهر.html,308,https://www.ezhalhe-sa.com/articles/كيف-تضمن-إدارة-متجرك-الإلكتروني-بكفاءة-عالية-لمدة-شهر.html,True
/articles/service3-article4.html,https://www.ezhalhe-sa.com/brand-building.html,308,https://www.ezhalhe-sa.com/brand-building.html,True
/articles/service4-article6,https://www.ezhalhe-sa.com/brand-building.html,308,https://www.ezhalhe-sa.com/brand-building.html,True
/articles/service5-article9.html,https://www.ezhalhe-sa.com/articles/تصميم-متجر-احترافي-استراتيجيات-لتمييز-متجرك-عن-المنافسين.html,308,https://www.ezhalhe-sa.com/articles/تصميم-متجر-احترافي-استراتيجيات-لتمييز-متجرك-عن-المنافسين.html,True
/articles/service7-article1,https://www.ezhalhe-sa.com/articles/تصميم-متجر-احترافي-استراتيجيات-لتمييز-متجرك-عن-المنافسين.html,308,https://www.ezhalhe-sa.com/articles/تصميم-متجر-احترافي-استراتيجيات-لتمييز-متجرك-عن-المنافسين.html,True
/articles/service8-article4.html,https://www.ezhalhe-sa.com/brand-building.html,308,https://www.ezhalhe-sa.com/brand-building.html,True
/data-analysis.html,https://www.ezhalhe-sa.com/articles/تحليل-أداء-المتجر-وحسابات-التواصل-الاجتماعي-مؤشرات-الأداء-الرئيسية-kpis.html,308,https://www.ezhalhe-sa.com/articles/تحليل-أداء-المتجر-وحسابات-التواصل-الاجتماعي-مؤشرات-الأداء-الرئيسية-kpis.html,True
/index.html,https://www.ezhalhe-sa.com/,308,https://www.ezhalhe-sa.com/,True
